event_date,users,page_view,session_start,purchase
20201101,2365,9767,2594,14
20201102,3262,14964,3682,49
20201103,4648,18665,5285,49
20201104,3734,15799,4281,46
20201105,3272,16249,3795,26
20201106,2813,15232,3265,58
20201107,2004,10814,2239,31
20201108,1919,9598,2133,32
20201109,2805,14009,3227,52
20201110,3260,15606,3784,64
20201111,3296,15938,3765,64
20201112,3179,15040,3631,54
20201113,2860,15722,3300,79
20201114,2076,10737,2334,30
20201115,1957,9913,2190,21
20201116,3085,15208,3496,69
20201117,3449,18098,4012,98
20201118,3505,16751,4092,68
20201119,3566,16677,4154,84
20201120,3477,17856,4084,118
20201121,2755,13278,3153,68
20201122,2359,11497,2650,60
20201123,3421,16358,3916,141
20201124,3821,19352,4170,147
20201125,3988,19898,4295,108
20201126,3626,16738,4061,57
20201127,3512,16510,3928,97
20201128,3010,13590,3346,78
20201129,2887,12999,3207,51
20201130,3971,21041,4516,141
20201201,4308,21511,4912,107
20201202,4101,19866,4759,82
20201203,4464,21359,5142,90
20201204,4131,20703,4678,96
20201205,3082,14975,3464,87
20201206,2948,13065,3303,42
20201207,4709,21324,5410,110
20201208,6689,27130,7526,122
20201209,5531,24193,6211,150
20201210,5241,24060,5759,143
20201211,4948,22212,5476,160
20201212,3750,16923,4088,106
20201213,3402,14322,3666,74
20201214,4552,19470,5051,99
20201215,4992,20822,5680,139
20201216,4820,19236,5487,143
20201217,4711,18136,5283,126
20201218,4261,16028,4786,107
20201219,3236,10728,3558,52
20201220,2966,8552,3247,20
20201221,3627,12294,3952,53
20201222,3405,12775,3793,60
20201223,3123,11356,3409,67
20201224,2601,7357,2774,23
20201225,2491,5956,2624,17
20201226,2472,6291,2651,17
20201227,2493,6226,2646,20
20201228,3042,9831,3329,36
20201229,3124,11770,3401,24
20201230,2955,10514,3183,37
20201231,2444,8535,2588,25
20210101,2160,7906,2289,14
20210102,2581,8450,2705,14
20210103,2579,8812,2753,14
20210104,3079,11010,3319,16
20210105,4101,14850,4411,29
20210106,5486,19233,5952,31
20210107,4171,15375,4608,26
20210108,3803,14381,4219,34
20210109,2958,11035,3241,20
20210110,2772,9674,2976,14
20210111,3606,13159,3918,28
20210112,4195,16693,4679,48
20210113,4131,15653,4478,36
20210114,3909,15534,4322,54
20210115,3550,13841,3894,47
20210116,2892,10556,3149,27
20210117,2716,9563,2960,14
20210118,3226,11332,3561,19
20210119,3713,17099,4146,49
20210120,4222,21007,4727,96
20210121,4198,17677,4640,52
20210122,3605,16803,4034,100
20210123,2824,11960,3088,43
20210124,2701,11038,2929,36
20210125,3507,14582,3865,61
20210126,3586,14861,4049,55
20210127,4017,16989,4271,54
20210128,3735,15149,4057,69
20210129,3386,14235,3742,54
20210130,2610,11049,2807,31
20210131,2546,9498,2760,19
